Career,Skills,Interests,Personality
Data Scientist,"Python, SQL, Statistics","AI, Analytics","Introvert"
Machine Learning Engineer,"Python, Deep Learning","AI, Research","Introvert"
Data Analyst,"Excel, SQL, Visualization","Analytics, Business","Ambivert"
Web Developer,"HTML, CSS, JavaScript","Web Development","Ambivert"
UI UX Designer,"Figma, Creativity","Design, Art","Extrovert"
Digital Marketer,"SEO, Communication","Marketing","Extrovert"
Cyber Security Analyst,"Networking, Python","Security, Problem Solving","Introvert"
Software Engineer,"Java, Problem Solving","Technology","Ambivert"
Cloud Engineer,"AWS, Networking","Cloud Computing","Introvert"
Business Analyst,"Communication, Excel","Business, Strategy","Extrovert"
